번호,대여/반납,일시,보관소명,거치대번호,처리자
1006130,대여,2012년02월21일20시39분24초,사천교,10,사용자
1006519,대여,2012년02월21일20시47분37초,사천교,7,사용자
1032153,대여,2012년02월22일08시13분02초,문화촌,17,사용자
1033125,대여,2012년02월22일09시03분48초,홍은사거리,7,사용자
1039093,대여,2012년02월22일12시11분11초,증산2교,16,사용자
1039344,대여,2012년02월22일14시03분07초,해담는 다리,11,사용자
1039348,대여,2012년02월22일14시15분15초,문화촌,17,사용자
1039351,대여,2012년02월22일14시23분05초,증산2교,16,사용자
1039354,대여,2012년02월22일15시03분19초,사천교,13,사용자
1039355,대여,2012년02월22일15시19분53초,홍은사거리,1,사용자
1039356,대여,2012년02월22일15시23분29초,해담는 다리,7,사용자
1039357,대여,2012년02월22일15시23분30초,사천교,11,사용자
1039359,대여,2012년02월22일15시25분57초,해담는 다리,8,사용자
1039360,대여,2012년02월22일15시27분06초,홍은사거리,24,사용자
1039362,대여,2012년02월22일15시35분09초,사천교,5,사용자
1039364,대여,2012년02월22일15시47분19초,증산2교,19,사용자
1039366,대여,2012년02월22일15시53분53초,해담는 다리,6,사용자
1039374,대여,2012년02월22일16시44분04초,홍은사거리,19,사용자
1039375,대여,2012년02월22일16시45분23초,홍은사거리,7,사용자
1039376,대여,2012년02월22일16시46분42초,문화촌,14,사용자
1039378,대여,2012년02월22일16시49분14초,해담는 다리,11,사용자
1039380,대여,2012년02월22일16시55분02초,해담는 다리,14,사용자
1039381,대여,2012년02월22일16시56분21초,해담는 다리,10,사용자
1039382,대여,2012년02월22일16시57분39초,해담는 다리,1,사용자
1039400,대여,2012년02월22일17시54분45초,해담는 다리,13,사용자
1039401,대여,2012년02월22일17시55분36초,해담는 다리,7,사용자
1039403,대여,2012년02월22일18시04분44초,홍은사거리,24,사용자
1039410,대여,2012년02월22일19시02분53초,홍은사거리,21,사용자
1039411,대여,2012년02월22일19시03분30초,홍은사거리,5,사용자
1039417,대여,2012년02월22일19시45분24초,해담는 다리,9,사용자
1039420,대여,2012년02월22일19시46분54초,해담는 다리,11,사용자
1039422,대여,2012년02월22일19시48분13초,해담는 다리,13,사용자
1039423,대여,2012년02월22일19시48분37초,해담는 다리,10,사용자
1039439,대여,2012년02월22일19시50분06초,해담는 다리,14,사용자
1039546,대여,2012년02월22일19시57분31초,홍은사거리,23,사용자
1039585,대여,2012년02월22일19시59분24초,홍은사거리,17,사용자
1039673,대여,2012년02월22일20시05분33초,홍은사거리,19,사용자
1039708,대여,2012년02월22일20시07분37초,홍은사거리,9,사용자
1039728,대여,2012년02월22일20시08분52초,홍은사거리,15,사용자
1039811,대여,2012년02월22일20시15분16초,사천교,5,사용자
1039881,대여,2012년02월22일20시18분54초,홍은사거리,5,사용자
1039918,대여,2012년02월22일20시21분09초,홍은사거리,1,사용자
1039976,대여,2012년02월22일20시24분24초,홍은사거리,2,사용자
1039988,대여,2012년02월22일20시25분04초,해담는 다리,11,사용자
1040006,대여,2012년02월22일20시25분54초,해담는 다리,2,사용자
1040156,대여,2012년02월22일20시35분29초,홍은사거리,5,사용자
1040184,대여,2012년02월22일20시36분58초,홍은사거리,19,사용자
1040246,대여,2012년02월22일20시40분26초,사천교,11,사용자
1040263,대여,2012년02월22일20시41분58초,사천교,7,사용자
1067171,대여,2012년02월23일11시44분05초,사천교,12,사용자
1067244,대여,2012년02월23일11시46분51초,사천교,7,사용자
1067854,대여,2012년02월23일12시18분50초,홍은사거리,7,사용자
1068534,대여,2012년02월23일13시39분11초,홍은사거리,2,사용자
1068539,대여,2012년02월23일13시44분43초,홍은사거리,21,사용자
1068545,대여,2012년02월23일13시50분49초,홍은사거리,24,사용자
1068552,대여,2012년02월23일13시56분11초,사천교,4,사용자
1068564,대여,2012년02월23일14시07분32초,사천교,15,사용자
1068568,대여,2012년02월23일14시16분27초,사천교,10,사용자
1068569,대여,2012년02월23일14시21분29초,해담는 다리,10,사용자
1068570,대여,2012년02월23일14시25분21초,사천교,1,사용자
1068571,대여,2012년02월23일14시27분51초,해담는 다리,11,사용자
1068573,대여,2012년02월23일14시31분58초,홍은사거리,7,사용자
1068574,대여,2012년02월23일14시33분03초,해담는 다리,14,사용자
1068586,대여,2012년02월23일15시23분55초,해담는 다리,8,사용자
1068621,대여,2012년02월23일15시36분11초,해담는 다리,9,사용자
1068622,대여,2012년02월23일15시36분22초,사천교,1,사용자
1068649,대여,2012년02월23일15시41분12초,문화촌,17,사용자
1068855,대여,2012년02월23일16시07분27초,홍은사거리,5,사용자
1068862,대여,2012년02월23일16시08분10초,증산2교,4,사용자
1068879,대여,2012년02월23일16시10분00초,홍은사거리,21,사용자
1068933,대여,2012년02월23일16시23분35초,홍은사거리,9,사용자
1068941,대여,2012년02월23일16시24분27초,홍은사거리,5,사용자
1068945,대여,2012년02월23일16시25분24초,홍은사거리,4,사용자
1068953,대여,2012년02월23일16시26분39초,홍은사거리,23,사용자
1068959,대여,2012년02월23일16시28분08초,홍은사거리,17,사용자
1068979,대여,2012년02월23일16시34분11초,홍은사거리,4,사용자
1068980,대여,2012년02월23일16시37분08초,홍은사거리,5,사용자
1068981,대여,2012년02월23일16시40분34초,홍은사거리,15,사용자
1068985,대여,2012년02월23일16시48분08초,홍은사거리,1,사용자
1068986,대여,2012년02월23일16시50분14초,사천교,13,사용자
1068992,대여,2012년02월23일17시33분02초,해담는 다리,11,사용자
1068996,대여,2012년02월23일17시35분38초,해담는 다리,11,사용자
1068998,대여,2012년02월23일17시36분22초,증산2교,12,사용자
1068999,대여,2012년02월23일17시36분58초,해담는 다리,6,사용자
1069002,대여,2012년02월23일17시38분10초,해담는 다리,12,사용자
1069003,대여,2012년02월23일17시38분55초,해담는 다리,10,사용자
1069006,대여,2012년02월23일17시45분19초,홍은사거리,1,사용자
1069011,대여,2012년02월23일18시09분16초,홍은사거리,5,사용자
1069014,대여,2012년02월23일18시15분57초,홍은사거리,7,사용자
1069016,대여,2012년02월23일18시23분24초,해담는 다리,11,사용자
1069023,대여,2012년02월23일18시43분01초,해담는 다리,5,사용자
1069025,대여,2012년02월23일18시45분02초,해담는 다리,8,사용자
1069028,대여,2012년02월23일18시46분24초,해담는 다리,13,사용자
1069047,대여,2012년02월23일19시03분02초,홍은사거리,5,사용자
